DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
2009-01-01,15.22,9.61,1023.60,23.30,11.27,1.75,2.98,,17.00,13.89,0.00,,0
2009-01-04,17.06,14.22,1017.60,17.30,5.79,1.39,2.01,,21.00,14.39,0.00,,0
2009-01-05,19.00,17.00,1016.90,16.50,9.01,2.01,2.98,,22.72,15.39,0.00,,0
2009-01-06,19.83,17.00,1018.30,18.00,12.87,1.85,2.98,,24.28,17.22,0.00,,0
2009-01-07,16.06,12.17,1021.30,21.00,7.72,2.26,2.98,,19.50,13.22,0.00,,0
2009-01-08,13.78,7.89,1025.70,25.40,9.98,3.14,4.01,,15.39,12.78,0.00,,0
2009-01-09,13.78,6.33,1026.70,26.40,11.27,2.01,4.01,,18.61,9.61,0.00,,0
2009-01-10,13.28,4.17,1024.20,23.90,13.68,1.39,2.98,,18.72,7.89,0.00,,0
2009-01-11,14.17,7.39,1022.60,22.30,10.30,0.98,2.01,,20.39,8.72,0.00,,0
2009-01-12,14.50,7.17,1027.40,27.10,7.72,1.23,2.98,,20.28,9.89,0.00,,0
2009-01-13,13.94,6.72,1028.40,28.10,10.62,1.29,2.98,,19.00,9.00,0.00,,0
2009-01-14,13.83,7.22,1027.60,27.30,11.75,1.65,2.98,,19.00,9.39,0.00,,0
2009-01-15,14.44,6.67,1025.60,25.30,10.94,1.49,2.98,,20.00,10.00,0.00,,0
2009-01-16,15.61,10.28,1022.30,22.00,8.85,0.98,2.98,,21.11,10.11,0.00,,0
2009-01-17,17.44,14.39,1018.70,18.40,8.05,0.98,0.98,,22.39,11.00,0.00,,100000
2009-01-18,17.78,16.83,1017.20,16.90,3.22,0.98,2.01,,20.22,16.61,0.03,,110000
2009-01-19,19.89,17.39,1013.40,13.10,10.62,2.11,4.01,,24.78,16.50,0.00,,100000
2009-01-20,20.50,18.28,1013.80,13.50,8.53,2.01,2.98,,24.61,17.50,0.00,,10000
2009-01-21,20.11,15.94,1016.60,16.30,12.55,1.75,2.98,,24.61,16.61,0.00,,10000
2009-01-22,18.50,14.67,1012.80,12.40,9.17,2.26,2.98,,21.72,16.39,0.00,,10000
2009-01-23,16.50,14.89,1018.50,18.30,7.72,2.01,4.01,,19.78,11.78,0.13,,10000
2009-01-24,10.56,8.17,1023.70,23.40,8.21,2.26,4.01,,11.11,9.61,0.00,,10000
2009-01-25,12.33,9.39,1018.60,18.30,8.53,1.13,2.01,,13.72,9.50,0.00,,10000
2009-01-26,11.17,7.78,1020.40,20.10,8.21,2.98,4.99,,12.78,9.72,0.03,,10000
2009-01-27,14.50,8.28,1017.60,17.30,9.98,1.49,2.98,,17.00,13.72,0.00,,0
2009-01-28,14.72,12.39,1015.50,15.20,9.17,2.01,2.98,,16.39,13.50,0.00,,10000
2009-01-29,14.78,13.17,1017.70,17.40,9.98,1.70,4.01,,17.61,13.00,0.15,,10000
2009-01-30,18.44,13.00,1014.50,14.20,14.00,1.39,2.98,,22.72,15.22,0.00,,0
2009-02-01,18.39,16.28,1017.50,17.20,8.53,0.98,2.01,,21.00,15.72,0.00,,0
2009-02-02,19.33,17.28,1016.90,16.60,12.55,1.49,2.01,,22.78,17.61,0.00,,0
2009-02-03,19.00,17.11,1015.60,15.40,11.59,1.65,2.98,,24.00,17.00,0.00,,0
2009-02-04,20.33,17.94,1014.90,14.60,12.55,1.75,2.98,,24.61,17.28,0.05,,10000
2009-02-05,18.78,17.11,1017.30,17.00,9.98,1.13,2.01,,21.28,16.72,0.03,,10000
2009-02-06,19.50,16.56,1017.40,17.10,10.14,1.13,2.98,,24.00,15.78,0.00,,100000
2009-02-07,19.61,16.89,1016.50,16.20,9.82,1.65,2.98,,23.39,16.89,0.00,,0
2009-02-08,19.89,17.11,1017.60,17.30,9.98,1.49,2.98,,23.78,17.11,0.00,,0
2009-02-09,20.00,17.39,1016.80,16.50,10.46,0.87,2.01,,24.22,16.50,0.00,,0
2009-02-10,21.22,17.94,1015.50,15.20,11.75,0.98,2.01,,26.11,16.22,0.00,,0
2009-02-11,22.00,18.78,1010.50,10.20,11.75,2.73,4.01,,27.00,17.72,0.00,,0
2009-02-12,22.61,20.39,1004.10,3.80,11.75,2.11,4.01,,26.72,20.00,0.00,,0
2009-02-13,24.00,20.56,1003.20,3.00,11.27,1.75,2.01,,32.00,19.28,0.00,,100000
2009-02-14,23.67,20.94,1005.20,4.90,11.75,2.01,2.98,,30.72,20.00,0.00,,0
2009-02-15,24.28,21.72,1008.90,8.60,13.68,2.37,4.01,,27.61,22.00,0.00,,0
2009-02-16,24.28,21.67,1012.10,11.80,11.27,2.11,4.01,,27.61,22.78,0.00,,0
2009-02-17,24.39,21.39,1013.70,13.40,12.55,2.62,4.01,,27.78,22.39,0.00,,10000
2009-02-18,23.67,21.33,1012.20,11.90,9.98,2.26,2.98,,26.72,22.22,0.00,,10000
2009-02-21,20.72,19.94,1009.80,9.50,8.53,1.49,2.01,,22.78,17.50,0.10,,10000
2009-02-22,23.39,22.33,1006.10,5.80,9.98,2.01,2.98,,25.78,22.00,0.03,,10000
2009-02-23,23.78,22.56,1007.50,7.20,9.98,1.49,2.01,,25.50,22.39,0.00,,0
2009-02-24,24.33,22.44,1008.10,7.80,10.78,2.01,4.01,,27.72,22.22,0.00,,0
2009-02-25,23.67,22.78,1009.10,8.80,9.17,1.75,4.01,,25.00,22.72,0.03,,10000
2009-02-26,24.44,22.56,1010.00,9.70,9.98,2.37,4.01,,26.72,22.50,0.00,,0
2009-02-28,21.39,19.89,1013.00,12.70,9.98,2.98,4.01,,25.00,18.61,0.05,,10000
2009-03-01,15.78,15.44,1015.60,15.30,4.83,2.26,2.98,,16.39,15.11,0.00,,10000
2009-03-02,14.89,14.50,1016.10,15.80,8.05,2.16,2.98,,15.78,14.00,0.46,,10000
2009-03-03,17.00,16.28,1012.80,12.50,6.92,0.87,2.01,,18.39,14.00,0.05,,10000
2009-03-04,19.00,18.28,1008.10,8.30,6.76,1.39,2.98,,20.72,16.89,0.38,,10000
2009-03-05,17.61,16.56,1009.30,9.00,6.28,2.62,4.01,,21.00,15.61,0.18,,10000
2009-03-06,16.61,11.50,1014.80,14.50,9.98,2.37,4.01,,18.61,15.22,0.05,,0
2009-03-08,17.56,15.28,1014.60,14.30,9.01,1.39,2.01,,19.28,16.22,0.00,,10000
2009-03-09,18.94,14.33,1015.60,15.30,9.17,1.65,2.01,,22.61,16.50,0.08,,0
2009-03-10,19.72,17.33,1011.40,11.10,6.92,1.39,2.98,,22.50,16.61,0.00,,10000
2009-03-11,21.06,20.72,1009.00,8.70,3.54,0.62,2.01,,21.89,18.50,0.10,,10000
2009-03-12,22.22,22.00,1010.00,9.70,8.05,0.77,0.98,,23.50,20.78,0.30,,10000
2009-03-13,18.44,15.50,1019.00,18.70,7.56,2.26,2.98,,23.72,14.61,3.63,,10010
2009-03-14,16.50,8.50,1021.60,21.30,11.27,1.49,2.98,,21.28,13.22,0.00,,0
2009-03-15,18.22,13.67,1016.60,16.30,12.55,1.39,2.98,,22.11,12.89,0.00,,0
2009-03-16,20.33,18.61,1013.50,13.20,11.27,0.87,2.01,,23.00,16.28,0.00,,10000
2009-03-17,21.94,20.22,1011.00,10.70,9.17,1.44,2.01,,24.00,19.61,0.00,,0
2009-03-18,23.50,21.72,1009.50,9.20,8.21,1.44,2.01,,26.00,20.89,0.00,,0
2009-03-20,23.94,23.11,1009.60,9.30,9.17,1.75,4.01,,26.50,22.61,0.03,,10000
2009-03-21,25.22,23.11,1006.50,6.20,13.68,3.24,4.99,,29.61,22.39,0.05,,0
2009-03-23,25.72,23.61,1007.30,7.00,12.55,1.85,2.98,,29.78,23.11,0.00,,0
2009-03-24,24.33,22.28,1010.20,9.90,9.98,1.44,2.01,,26.11,22.78,0.00,,10000
2009-03-25,20.50,19.72,1012.70,12.40,9.98,2.01,2.98,,22.78,19.61,4.55,,10000
2009-03-26,20.83,20.22,1011.50,11.20,8.21,1.70,2.98,,21.61,19.28,0.00,,10000
2009-03-27,24.22,22.17,1010.80,10.50,13.04,2.37,2.98,,29.39,20.28,0.03,,10000
2009-03-28,25.61,22.94,1008.20,7.90,13.68,2.11,2.98,,32.22,22.22,0.00,,0
2009-03-29,24.22,20.06,1012.30,12.00,12.55,2.37,4.01,,28.72,22.22,0.00,,10000
2009-03-30,20.78,19.33,1014.80,14.50,9.17,2.01,2.98,,23.00,18.00,2.08,,10000
2009-03-31,18.06,17.39,1016.20,15.90,9.98,1.65,2.98,,18.72,17.00,0.28,,10000
2009-04-01,18.00,17.11,1017.10,16.80,9.17,2.26,4.01,,20.50,16.50,0.33,,10010
2009-04-02,17.39,17.17,1015.50,15.20,9.17,1.49,2.98,,18.11,16.39,1.83,,10000
2009-04-03,20.83,20.17,1013.10,12.80,6.60,1.85,2.98,,23.22,17.50,0.10,,10000
2009-04-04,23.50,22.17,1012.90,12.60,10.46,1.65,2.98,,27.22,20.61,0.00,,10000
2009-04-05,20.33,18.61,1015.20,14.90,9.98,2.37,4.01,,25.39,18.28,2.06,,10000
2009-04-06,19.44,15.28,1015.10,14.80,13.68,1.65,4.01,,21.50,17.72,0.00,,0
2009-04-07,21.39,17.61,1014.30,14.00,13.68,1.75,2.98,,25.61,18.00,0.00,,0
2009-04-08,21.83,20.28,1013.60,13.30,9.17,1.75,2.98,,24.72,19.61,0.00,,0
2009-04-09,23.33,22.00,1012.00,11.70,7.72,2.26,4.01,,26.28,20.78,0.00,,10000
2009-04-10,23.11,22.50,1011.30,11.00,6.28,2.11,2.98,,24.50,21.78,0.10,,10000
2009-04-11,24.11,23.06,1010.30,10.00,9.17,2.01,2.98,,26.22,22.22,0.08,,10010
2009-04-12,24.67,23.39,1007.10,6.80,11.27,2.01,2.98,,27.61,22.50,0.25,,10000
2009-04-13,25.17,23.56,1006.30,6.00,11.59,1.85,2.01,,28.11,23.89,0.00,,10000
2009-04-14,25.39,23.39,1007.50,7.20,12.55,1.75,2.98,,29.22,22.50,0.30,,10010
2009-04-15,25.44,24.00,1005.00,4.70,12.55,2.01,4.01,,29.00,23.39,0.00,,10000
2009-04-16,27.11,24.56,1001.80,1.50,13.04,1.65,2.01,,31.28,24.00,0.00,,0
2009-04-17,24.94,23.56,1003.10,2.80,9.17,2.37,4.01,,27.28,24.22,0.00,,10000
2009-04-18,26.83,25.11,1002.80,2.50,10.62,2.26,4.01,,30.50,24.28,0.00,,0
2009-04-19,29.78,25.17,1000.80,0.50,13.04,1.75,2.98,,35.28,24.78,0.00,,0
2009-04-20,27.17,20.94,1004.80,4.50,13.68,2.52,4.99,,31.28,24.61,0.00,,0
2009-04-21,27.22,21.06,1005.40,5.10,13.68,1.39,2.01,,31.50,24.39,0.00,,0
2009-04-22,26.50,23.61,1006.10,5.80,13.04,2.52,4.01,,29.78,23.72,0.00,,10000
2009-04-23,27.28,25.06,1004.60,4.30,10.94,2.62,4.01,,30.28,25.39,0.00,,0
2009-04-24,27.50,25.44,1005.70,5.40,11.75,2.16,4.01,,31.22,22.61,0.00,,10010
2009-04-25,22.94,20.00,1012.30,12.00,11.43,3.40,7.00,,26.50,20.61,13.44,,10010
2009-04-26,24.00,18.72,1013.60,13.30,13.68,1.49,2.98,,28.11,21.61,0.00,,0
2009-04-27,24.17,20.89,1012.90,12.60,9.17,1.70,2.98,,27.50,21.50,0.00,,0
2009-04-28,23.67,22.11,1012.70,12.40,9.98,2.26,2.98,,25.39,22.00,0.30,,10000
2009-04-29,23.72,23.00,1011.70,11.40,9.01,2.11,2.98,,24.89,22.89,0.99,,10000
2009-04-30,23.61,22.78,1012.10,11.80,9.98,2.11,2.98,,27.00,22.39,1.70,,10000
2009-05-01,24.83,22.00,1013.70,13.30,12.55,1.85,4.01,,28.00,22.61,0.00,,0
2009-05-02,26.61,20.72,1013.70,13.40,12.07,1.59,2.01,,29.00,23.39,0.00,,0
2009-05-03,25.50,20.33,1013.40,13.10,12.55,1.75,2.98,,29.39,22.61,0.00,,0
2009-05-04,25.67,21.61,1011.90,11.60,13.68,2.11,4.01,,30.00,22.78,0.00,,0
2009-05-05,25.61,22.50,1010.40,10.10,13.04,1.65,2.98,,29.61,22.50,0.00,,0
2009-05-06,25.56,23.11,1008.20,8.00,11.27,2.62,4.01,,29.00,23.50,0.00,,0
2009-05-07,26.17,23.61,1005.90,5.60,9.98,2.73,4.01,,29.50,24.22,0.00,,10000
2009-05-08,25.44,24.11,1004.90,4.60,9.98,2.73,4.01,,27.72,22.78,0.00,,10010
2009-05-09,25.00,24.33,1005.10,4.80,9.17,2.62,2.98,,26.78,22.11,2.74,,10010
2009-05-10,25.83,24.61,1005.90,5.60,13.68,2.37,4.01,,28.61,24.00,2.90,,10010
2009-05-11,27.50,25.39,1008.00,7.70,12.55,2.88,4.99,,30.78,25.50,0.00,,10000
2009-05-12,27.94,25.11,1008.70,8.40,13.68,2.37,4.01,,31.61,25.39,0.05,,0
2009-05-13,28.17,24.17,1007.30,7.00,14.97,2.01,4.01,,32.11,25.39,0.00,,0
2009-05-14,27.94,24.33,1008.30,8.00,14.97,2.37,4.01,,31.78,24.39,0.00,,10010
2009-05-15,26.78,24.78,1009.30,9.10,11.75,2.11,4.01,,29.78,23.50,6.60,,10010
2009-05-16,27.89,26.17,1010.00,9.60,12.55,2.11,4.99,,30.89,25.72,1.12,,10010
2009-05-17,28.50,25.83,1008.70,8.40,13.68,2.52,4.01,,32.28,26.28,0.56,,10000
2009-05-18,26.39,24.33,1007.60,7.30,12.55,2.62,4.99,,31.72,24.72,0.03,,10010
2009-05-19,28.78,25.44,1004.60,4.30,13.68,2.26,4.01,,32.22,24.28,0.48,,10000
2009-05-20,26.61,23.78,1006.20,5.90,13.68,2.26,4.01,,28.72,24.89,0.20,,10000
2009-05-21,26.56,24.22,1008.20,7.90,11.27,1.75,2.98,,30.00,24.28,0.23,,10000
2009-05-22,26.50,24.33,1007.80,7.50,11.27,1.75,2.98,,30.11,23.11,2.41,,10000
2009-05-23,28.28,24.44,1005.90,5.70,13.68,2.11,4.01,,32.28,25.00,0.00,,0
2009-05-24,29.11,23.94,1004.70,4.40,15.77,2.57,2.98,,32.72,25.50,0.00,,0
2009-05-25,29.00,24.72,1004.50,4.20,13.68,1.85,4.01,,33.11,25.78,0.00,,0
2009-05-26,28.56,25.28,1004.10,3.80,12.55,2.01,4.01,,32.22,26.39,0.00,,0
2009-05-27,29.33,25.89,1002.30,2.00,14.97,2.01,4.01,,33.11,26.72,0.00,,0
2009-05-28,28.28,26.22,1004.30,4.00,10.46,2.37,4.01,,32.61,24.00,3.71,,10010
2009-05-29,22.89,20.89,1010.90,10.60,9.01,3.14,4.99,,23.61,22.00,3.86,,10000
2009-05-30,26.11,21.39,1010.50,10.20,13.68,1.75,2.98,,29.50,22.00,0.00,,0
2009-05-31,27.28,23.00,1007.60,7.30,13.68,1.49,2.98,,31.72,24.50,0.00,,0
2009-06-01,28.67,25.28,1002.60,2.30,14.97,2.01,4.01,,31.61,25.28,0.00,,10000
2009-06-02,29.61,26.06,998.70,998.40,12.55,2.52,4.01,,33.61,25.00,0.03,,0
2009-06-03,25.94,22.06,1001.40,1.10,11.59,1.65,4.01,,30.00,23.00,0.00,,0
2009-06-04,28.33,23.67,1001.60,1.30,13.68,2.11,2.98,,32.61,24.89,0.00,,0
2009-06-05,28.50,25.78,1002.70,2.40,12.55,1.23,2.01,,32.11,26.00,0.00,,10000
2009-06-07,30.78,24.44,999.40,999.10,14.97,3.50,4.99,,34.78,27.00,0.03,,0
2009-06-08,31.83,24.78,1000.60,0.20,14.97,2.98,4.99,,36.50,27.72,0.00,,0
2009-06-09,32.17,25.00,1001.80,1.50,13.68,2.52,2.98,,37.00,28.28,0.00,,0
2009-06-10,31.22,25.17,1002.40,2.00,13.36,1.49,2.98,,37.00,28.22,0.00,,0
2009-06-11,29.44,26.50,1003.00,2.80,10.30,1.39,4.01,,32.50,28.22,0.00,,10
2009-06-12,31.17,25.83,1002.20,1.90,14.00,2.01,6.02,,36.28,27.22,0.00,,10
2009-06-13,29.78,25.44,1003.60,3.30,13.68,2.11,4.01,,33.78,25.22,0.36,,0
2009-06-14,30.44,26.50,1002.50,2.20,14.97,1.65,2.01,,34.61,28.11,0.00,,10
2009-06-15,27.67,26.11,1002.20,1.90,11.43,1.23,2.01,,33.50,26.11,4.70,,10010
2009-06-16,26.28,25.28,1004.00,3.70,9.98,0.98,2.01,,28.61,25.28,1.60,,10010
2009-06-17,28.17,26.06,1004.10,3.80,9.98,1.75,2.98,,31.50,25.00,0.79,,10000
2009-06-18,30.78,26.33,1001.40,1.10,14.97,2.01,4.01,,34.50,26.78,0.03,,10000
2009-06-19,32.61,26.17,999.50,999.20,13.68,2.01,2.98,,37.61,28.50,0.00,,0
2009-06-20,32.89,26.33,999.60,999.30,14.97,1.85,4.01,,37.72,29.00,0.00,,0
2009-06-21,32.89,25.72,999.10,998.80,14.97,2.37,4.01,,37.61,29.61,0.00,,0
