DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
1991-01-01,22.72,19.17,1012.80,999.90,14.00,1.65,2.11,,27.00,19.89,0.00,,0
1991-01-02,20.28,18.11,1015.40,999.90,13.36,2.52,4.01,,21.11,19.72,0.00,,10000
1991-01-03,20.89,14.06,1015.70,999.90,12.55,2.52,4.01,,27.39,17.89,0.00,,10000
1991-01-04,17.06,15.17,1015.60,999.90,9.98,4.78,7.20,,23.61,12.00,0.00,,10000
1991-01-05,13.22,6.94,1019.30,999.90,12.87,3.50,6.17,,14.11,12.00,0.00,,0
1991-01-06,13.67,11.94,1017.10,999.90,12.55,1.13,2.98,,14.72,12.28,0.00,,10000
1991-01-07,15.00,13.94,1016.80,999.90,9.98,1.70,4.01,,16.28,13.28,0.00,,10000
1991-01-08,14.67,12.94,1019.40,999.90,12.87,1.70,2.98,,16.00,13.72,,,10000
1991-01-09,14.00,12.94,1016.30,999.90,9.98,1.85,2.98,,15.89,13.39,,,10000
1991-01-10,16.00,15.11,1013.90,999.90,4.02,1.13,2.01,,17.39,13.78,0.00,,110000
1991-01-11,15.22,12.00,1017.40,999.90,12.07,2.78,6.17,,19.00,12.50,0.00,,10000
1991-01-12,13.94,10.83,1019.10,999.90,10.78,3.04,5.09,,14.61,13.00,0.00,,0
1991-01-13,13.28,11.67,1019.50,999.90,8.21,3.14,5.09,,14.39,12.78,0.00,,10000
1991-01-14,13.89,10.44,1023.50,999.90,11.59,2.98,4.99,,14.39,12.89,0.00,,10000
1991-01-15,14.89,8.39,1024.60,999.90,13.36,1.65,6.02,,18.22,13.00,0.00,,0
1991-01-17,15.17,12.83,1019.60,999.90,12.71,0.87,3.09,,15.78,14.00,0.00,,10000
1991-01-18,17.33,15.33,1015.70,999.90,18.02,0.62,2.01,,22.50,15.00,0.00,,10000
1991-01-19,22.89,18.17,1013.40,999.90,17.70,2.42,4.01,,32.22,19.00,0.00,,100000
1991-01-20,22.83,19.67,1012.60,999.90,16.74,2.62,4.01,,26.78,20.11,0.00,,0
1991-01-21,23.44,19.89,1013.80,999.90,16.09,2.78,4.01,,25.89,21.39,0.00,,0
1991-01-22,23.44,19.78,,999.90,12.55,3.50,7.20,,26.00,21.00,0.00,,10000
1991-01-23,22.33,19.78,1015.20,999.90,14.00,3.55,5.09,,26.11,20.61,0.00,,10000
1991-01-24,21.61,19.50,1015.40,999.90,15.77,3.29,6.02,,24.89,20.50,0.00,,110000
1991-01-25,21.78,19.28,1017.40,999.90,9.50,3.29,5.09,,24.00,19.89,0.00,,10000
1991-01-26,16.44,14.22,1019.90,999.90,10.94,3.04,6.17,,18.28,15.28,0.00,,10000
1991-01-27,15.28,14.00,1019.60,999.90,12.55,1.13,2.98,,16.00,14.39,0.00,,10000
1991-01-28,16.11,14.56,1019.20,999.90,7.56,1.18,2.01,,16.89,15.28,0.00,,10000
1991-01-29,16.44,13.67,1019.00,999.90,12.39,2.52,5.09,,18.50,15.00,0.00,,10000
1991-01-30,18.06,14.67,1019.50,999.90,16.74,0.67,3.09,,20.00,15.89,0.00,,0
1991-01-31,16.56,11.39,1021.60,999.90,12.87,3.14,4.01,,19.11,14.50,0.00,,0
1991-02-01,13.28,7.50,1021.70,999.90,19.96,2.62,4.01,,14.11,12.78,0.00,,0
1991-02-02,13.56,9.06,1020.30,999.90,15.93,1.39,3.09,,14.89,12.61,0.00,,0
1991-02-03,14.00,11.33,1021.00,999.90,17.06,1.03,2.11,,15.72,13.22,0.00,,10000
1991-02-04,14.39,11.28,1021.60,999.90,17.22,1.59,2.98,,15.78,13.22,0.00,,0
1991-02-05,17.00,13.83,1018.30,999.90,18.19,1.13,2.11,,20.39,13.22,0.00,,0
1991-02-06,18.39,15.89,1015.90,999.90,9.82,0.77,2.11,,23.50,16.00,0.00,,0
1991-02-07,21.89,18.17,1013.90,999.90,17.06,2.42,6.17,,24.50,19.11,0.00,,0
1991-02-08,21.94,18.78,1013.20,999.90,16.74,2.52,4.99,,24.39,19.00,0.00,,10000
1991-02-09,23.06,19.72,1012.60,999.90,15.93,2.42,4.01,,25.28,20.72,0.00,,0
1991-02-10,23.28,19.89,1012.10,999.90,17.54,1.75,2.98,,26.22,20.89,0.00,,0
