DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
2001-01-01,18.44,15.00,,999.90,5.31,2.57,4.99,,24.00,15.00,0.00,,0
2001-01-02,19.89,17.61,1014.00,13.20,3.86,2.26,4.99,,25.39,12.00,0.00,,10000
2001-01-03,18.17,17.33,,999.90,3.06,2.83,4.99,,21.00,15.00,0.38,,10000
2001-01-04,16.67,15.06,,999.90,6.28,4.01,7.00,,18.72,15.00,0.18,,10000
2001-01-05,18.50,17.33,,999.90,3.86,1.75,4.99,,20.11,17.00,0.08,,10000
2001-01-06,22.00,19.94,,999.90,7.40,2.93,6.02,,26.28,19.00,0.08,,0
2001-01-07,23.00,20.39,,999.90,10.14,4.53,7.00,,28.50,20.78,0.00,,0
2001-01-08,23.17,20.78,,999.90,10.78,3.09,6.02,,28.89,20.00,0.00,,0
2001-01-09,17.89,13.44,,999.90,11.59,5.20,9.98,,27.11,13.00,0.08,,10000
2001-01-10,12.56,10.11,1015.70,14.90,10.14,2.42,4.01,,14.28,11.22,0.00,,10000
2001-01-11,14.83,12.33,,999.90,5.47,1.29,2.01,,17.39,12.11,0.08,,10000
2001-01-12,17.06,14.83,,999.90,3.54,1.59,2.98,,19.39,13.00,0.00,,10000
2001-01-13,17.28,12.89,,999.90,6.12,2.16,4.01,,19.61,16.00,0.28,,10000
2001-01-14,16.00,12.39,,999.90,6.12,2.98,4.99,,19.61,12.00,0.08,,10000
2001-01-15,12.06,10.11,,999.90,7.56,3.19,4.99,,12.78,12.00,0.71,,10000
2001-01-16,12.94,10.17,,999.90,7.24,1.70,4.01,,14.61,12.00,0.00,,0
2001-01-17,14.83,12.33,,999.90,8.53,0.77,2.01,,19.22,12.00,0.00,,0
2001-01-18,18.33,16.56,,999.90,3.06,1.08,2.98,,23.78,12.00,0.00,,100000
2001-01-19,20.06,18.94,,999.90,3.38,1.85,4.01,,24.22,18.00,0.00,,110000
2001-01-20,20.61,18.94,,999.90,4.67,1.95,4.99,,26.11,18.00,0.00,,0
2001-01-21,21.44,19.83,,999.90,5.47,2.21,4.01,,28.39,19.00,0.00,,10000
2001-01-22,22.89,21.06,1010.00,9.20,13.36,2.47,4.01,,25.89,20.78,0.15,,10000
2001-01-23,23.39,22.17,,999.90,6.60,3.40,7.00,,27.11,22.00,0.08,,10000
2001-01-24,23.22,22.89,,999.90,6.60,3.70,6.02,,25.61,22.00,0.18,,10000
2001-01-25,20.72,19.17,,999.90,8.05,5.40,11.01,,28.28,14.00,0.15,,10000
2001-01-26,13.61,8.39,,999.90,11.59,3.50,7.00,,16.39,11.00,0.08,,0
2001-01-27,13.06,9.72,,999.90,12.23,3.19,4.99,,26.22,11.00,0.00,,10000
2001-01-28,15.50,7.11,,999.90,11.10,2.57,4.99,,18.28,11.61,0.00,,0
2001-01-29,16.00,6.72,,999.90,10.62,2.73,6.02,,19.78,14.00,0.00,,0
2001-01-30,15.50,11.00,,999.90,7.40,1.49,2.98,,17.39,14.00,0.00,,0
2001-01-31,14.56,13.11,1013.90,13.10,9.66,1.85,2.98,,15.61,14.00,0.00,,10000
2001-02-01,14.67,12.28,,999.90,7.24,3.50,4.99,,17.78,12.00,0.20,,10000
2001-02-02,13.11,11.00,,999.90,9.01,3.65,4.99,,16.00,11.00,0.00,,10000
2001-02-03,13.50,11.94,,999.90,9.66,3.14,4.99,,15.78,11.00,0.18,,10000
2001-02-04,15.83,10.94,1015.70,14.90,17.38,1.70,4.01,,18.39,12.61,0.08,,0
2001-02-05,16.22,15.61,,999.90,3.86,1.39,2.98,,19.11,15.00,0.00,,10000
2001-02-06,18.00,17.33,,999.90,4.18,1.39,2.98,,20.11,16.00,0.13,,10000
2001-02-07,17.72,15.22,,999.90,8.53,2.73,6.02,,20.00,16.00,0.30,,10000
2001-02-08,14.28,10.94,,999.90,9.98,3.96,6.02,,16.89,12.00,0.08,,10000
2001-02-09,12.61,9.72,,999.90,10.78,3.34,6.02,,13.89,11.00,0.15,,10000
2001-02-10,13.72,9.67,,999.90,10.62,3.24,6.02,,16.78,12.00,0.00,,0
2001-02-11,14.83,12.33,,999.90,5.95,1.95,2.98,,19.50,13.00,0.00,,10000
2001-02-12,15.28,14.83,,999.90,4.35,1.39,4.01,,17.39,13.78,0.08,,10000
2001-02-13,16.06,11.89,,999.90,9.17,4.01,6.02,,18.11,14.00,0.08,,10000
2001-02-14,15.17,8.89,,999.90,10.30,2.42,4.01,,19.50,11.00,0.00,,0
2001-02-15,16.44,10.94,,999.90,9.66,1.39,2.98,,21.50,12.00,0.00,,0
2001-02-16,17.61,11.61,1021.90,21.10,9.33,1.75,4.01,,23.22,12.00,0.00,,0
2001-02-17,18.39,15.17,,999.90,4.83,3.19,4.99,,24.28,13.00,0.00,,0
2001-02-18,19.17,17.33,,999.90,5.79,2.42,4.99,,23.72,15.00,0.00,,110000
2001-02-19,18.50,18.50,,999.90,1.93,1.44,4.01,,20.72,17.00,0.15,,10000
2001-02-20,20.50,19.17,1012.90,12.10,6.44,2.21,4.99,,24.89,18.00,0.18,,110000
2001-02-21,20.17,19.28,,999.90,4.51,2.37,4.01,,25.28,18.00,0.00,,0
2001-02-22,21.50,19.83,,999.90,6.60,2.98,4.99,,24.78,18.00,0.00,,10000
2001-02-23,22.33,21.44,,999.90,5.79,2.62,4.01,,25.50,20.00,0.10,,10000
2001-02-24,20.56,19.67,,999.90,6.28,3.60,7.97,,24.11,16.00,0.05,,10010
2001-02-25,15.50,13.50,,999.90,11.59,3.81,6.02,,17.61,14.00,3.07,,10010
2001-02-26,15.72,14.28,,999.90,10.46,2.37,4.01,,18.39,14.00,0.08,,10000
2001-02-27,16.78,16.28,,999.90,5.95,1.95,6.02,,18.78,15.00,0.00,,10000
2001-02-28,17.28,15.17,,999.90,12.07,2.52,6.02,,19.50,15.39,0.18,,10000
2001-03-01,18.83,14.33,,999.90,9.01,1.85,2.98,,22.78,16.00,0.00,,0
2001-03-02,19.28,16.78,,999.90,5.95,2.47,6.02,,24.78,16.00,0.00,,10000
2001-03-03,19.11,16.67,,999.90,8.69,2.42,4.01,,20.00,18.00,0.18,,10000
2001-03-04,20.28,13.44,,999.90,7.56,2.52,4.99,,24.11,17.00,0.00,,0
2001-03-05,20.06,17.00,,999.90,5.31,2.68,4.99,,25.28,17.00,0.00,,0
2001-03-06,20.22,18.94,1013.30,12.50,4.02,1.39,2.98,,22.89,18.89,0.05,,10000
2001-03-07,21.00,20.94,,999.90,1.77,1.80,4.99,,22.11,19.00,0.18,,110010
2001-03-08,16.00,15.33,1021.10,20.30,8.85,4.06,7.00,,19.72,14.00,2.69,,10000
2001-03-09,14.00,13.94,,999.90,4.99,1.80,4.99,,15.00,13.78,3.48,,10000
2001-03-10,15.78,15.61,,999.90,3.70,0.98,2.01,,16.78,14.00,1.88,,10000
2001-03-11,16.72,16.22,,999.90,8.69,2.31,4.99,,18.00,16.00,0.61,,10000
2001-03-12,17.50,17.11,,999.90,4.18,1.39,2.98,,20.00,15.89,0.33,,10000
2001-03-13,16.00,15.72,,999.90,4.67,0.98,2.98,,17.00,15.00,1.19,,10000
2001-03-14,19.72,19.22,,999.90,4.67,1.65,4.01,,22.78,16.50,0.86,,10000
2001-03-15,21.83,20.78,,999.90,4.02,1.44,4.01,,25.50,19.50,0.33,,0
2001-03-16,23.56,23.06,,999.90,6.28,2.52,6.02,,29.50,21.00,0.00,,10000
2001-03-17,24.06,23.61,,999.90,6.76,2.68,4.99,,28.61,19.39,0.15,,10000
2001-03-18,23.56,22.83,,999.90,6.28,2.78,6.02,,26.89,20.89,0.08,,10000
2001-03-19,22.89,22.72,,999.90,4.83,3.29,6.02,,25.50,21.28,0.51,,10010
2001-03-20,23.56,22.39,,999.90,7.24,2.73,4.99,,29.39,21.00,0.08,,10000
2001-03-21,23.28,21.33,,999.90,6.44,2.62,6.02,,27.11,21.00,0.00,,10000
2001-03-22,23.83,23.33,,999.90,5.15,2.52,4.01,,28.89,21.00,0.00,,0
2001-03-23,25.00,24.44,,999.90,6.44,3.34,6.02,,29.11,23.00,0.00,,0
2001-03-24,24.72,24.44,,999.90,4.51,2.47,4.01,,28.28,23.00,0.00,,0
2001-03-25,25.06,22.50,,999.90,9.01,3.34,7.00,,30.50,21.00,0.00,,0
2001-03-26,20.61,18.61,,999.90,9.82,2.11,6.02,,23.00,19.00,1.19,,10000
2001-03-27,21.39,20.06,,999.90,5.63,1.80,4.01,,24.72,19.00,0.20,,10000
2001-03-28,21.89,20.33,,999.90,4.83,2.93,7.97,,24.72,19.00,0.00,,10000
2001-03-29,21.72,17.67,,999.90,10.94,2.11,4.01,,26.78,18.00,0.20,,0
2001-03-30,21.50,20.11,,999.90,8.21,2.57,6.02,,25.89,20.00,0.00,,10000
2001-03-31,21.78,21.72,,999.90,2.41,1.70,2.98,,23.11,20.00,0.10,,10000
2001-04-01,23.72,23.00,,999.90,6.76,4.06,7.00,,27.78,21.89,0.15,,10000
2001-04-02,25.00,23.94,,999.90,8.05,3.65,7.00,,28.11,23.00,0.00,,0
2001-04-03,25.22,24.72,,999.90,5.15,2.31,4.01,,28.50,24.00,0.00,,10000
2001-04-04,23.72,23.56,,999.90,4.83,3.29,4.99,,26.78,20.00,0.10,,10000
2001-04-05,20.89,20.83,,999.90,2.57,2.21,4.01,,22.11,20.00,0.89,,10000
2001-04-06,22.33,22.22,,999.90,6.44,2.11,4.01,,24.28,21.00,0.36,,10000
2001-04-07,23.39,23.22,1006.50,5.70,6.44,1.75,4.01,,25.11,22.00,0.10,,10000
2001-04-08,26.56,26.11,,999.90,4.02,1.39,2.98,,31.61,24.00,0.05,,110000
2001-04-09,26.89,26.39,,999.90,5.31,2.26,4.01,,31.78,24.00,0.00,,0
2001-04-10,26.17,24.83,,999.90,7.08,3.60,11.99,,29.11,20.00,,,10000
2001-04-11,16.06,13.83,,999.90,8.53,3.70,9.98,,19.00,14.00,,,10010
2001-04-12,18.22,14.89,,999.90,8.85,1.90,2.98,,22.50,16.00,0.03,,0
2001-04-13,20.33,17.94,,999.90,10.14,2.47,4.01,,24.11,18.00,0.00,,10000
2001-04-14,20.94,20.11,,999.90,5.95,1.03,2.98,,23.00,19.00,0.08,,10000
2001-04-15,22.44,21.28,,999.90,6.92,2.01,4.01,,26.28,20.00,0.00,,10000
2001-04-16,23.44,23.00,,999.90,3.70,2.21,4.01,,27.11,21.78,0.00,,10000
2001-04-17,24.44,24.17,,999.90,5.47,3.14,6.02,,28.11,22.61,0.10,,10000
2001-04-18,26.17,25.33,,999.90,5.63,3.14,4.99,,31.39,24.00,0.08,,0
2001-04-19,26.33,25.67,,999.90,6.76,2.37,4.99,,31.22,24.00,0.00,,10000
2001-04-20,27.33,25.89,998.90,998.00,8.05,2.11,4.01,,35.50,24.00,0.00,,0
2001-04-21,28.61,26.72,,999.90,7.72,3.14,6.02,,36.00,25.00,0.00,,0
2001-04-22,23.00,20.44,,999.90,9.17,4.17,9.00,,27.39,19.00,0.00,,10010
2001-04-23,20.44,20.11,,999.90,4.99,3.34,4.99,,23.00,19.00,0.43,,10000
2001-04-24,20.50,19.22,,999.90,9.66,3.24,7.97,,22.61,19.00,0.30,,10000
2001-04-25,20.89,19.39,,999.90,9.50,2.78,4.99,,25.28,19.00,0.23,,10000
2001-04-26,22.22,21.28,,999.90,6.44,2.68,4.01,,25.89,20.00,0.00,,10000
2001-04-27,24.89,23.67,,999.90,6.76,3.70,7.00,,29.78,22.00,0.00,,10000
2001-04-28,26.17,25.11,,999.90,9.66,4.17,6.02,,31.11,21.00,0.08,,10010
2001-04-29,25.50,24.89,,999.90,9.82,2.26,4.99,,31.50,22.00,3.81,,0
