DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
1980-01-01,23.11,19.89,1012.40,999.90,18.02,3.14,7.97,,26.00,21.00,0.00,,0
1980-01-02,22.89,20.11,1012.80,999.90,18.83,2.73,4.01,,26.00,21.00,0.00,,0
1980-01-03,22.61,19.61,1014.00,999.90,19.96,2.98,4.01,,26.00,21.00,0.00,,0
1980-01-04,19.11,14.39,1019.80,999.90,18.83,3.24,4.99,,24.00,14.00,,,10000
1980-01-05,15.44,10.44,1019.80,999.90,19.96,1.70,2.98,,16.00,14.00,0.00,,0
1980-01-06,14.39,12.00,1022.20,999.90,6.76,3.14,6.02,,15.00,14.00,,,10000
1980-01-07,14.61,8.00,1023.10,999.90,19.96,1.65,4.01,,16.00,13.00,0.00,,0
1980-01-08,16.00,9.28,1021.00,999.90,16.74,1.23,2.98,,18.00,14.00,0.00,,0
1980-01-09,17.00,10.28,1018.50,999.90,18.02,1.85,4.01,,21.00,13.00,0.00,,0
1980-01-10,18.39,15.00,1014.90,999.90,15.93,1.49,2.01,,21.00,15.00,0.00,,0
1980-01-11,21.39,18.11,1012.60,999.90,13.52,3.14,6.02,,25.00,18.00,0.00,,0
1980-01-12,22.28,18.83,1013.70,999.90,13.36,2.01,4.99,,26.00,17.00,0.00,,0
1980-01-13,17.00,10.00,1018.30,999.90,18.83,3.14,4.99,,18.00,15.00,,,10000
1980-01-14,15.28,7.50,1023.10,999.90,19.96,2.88,4.01,,16.00,14.00,0.00,,0
1980-01-15,14.50,9.11,1022.20,999.90,18.83,1.75,4.01,,15.00,14.00,0.00,,0
1980-01-16,14.61,11.39,1019.10,999.90,8.21,1.13,2.01,,16.00,13.00,,,10000
1980-01-17,16.39,11.50,1022.20,999.90,7.72,1.23,2.01,,18.00,14.00,0.00,,0
1980-01-18,15.00,12.89,1022.40,999.90,4.51,1.39,4.01,,16.00,14.00,,,10000
1980-01-19,15.28,14.56,1021.80,999.90,4.51,1.59,2.98,,16.00,15.00,,,10000
1980-01-20,14.83,13.33,1019.90,999.90,5.95,2.68,4.01,,15.00,14.00,,,10000
1980-01-21,14.56,10.00,1021.30,999.90,15.13,3.45,6.02,,18.00,13.00,,,10000
1980-01-22,14.44,10.56,1019.70,999.90,17.70,3.55,13.99,,15.00,13.00,,,10000
1980-01-23,15.11,14.11,1016.60,999.90,4.83,0.62,2.01,,16.00,13.00,,,110000
1980-01-24,17.72,15.50,1016.30,999.90,4.35,0.51,0.98,,20.00,15.00,,,110000
1980-01-25,19.00,17.50,1014.30,999.90,12.71,2.01,4.01,,23.00,17.00,0.00,,0
1980-01-26,20.50,18.11,1011.80,999.90,13.04,2.52,6.02,,23.00,19.00,0.00,,0
1980-01-27,21.83,19.44,1006.00,999.90,12.55,2.26,4.01,,25.00,19.00,,,10000
1980-01-28,22.11,19.28,1003.40,999.90,8.69,1.49,2.98,,27.00,18.00,0.00,,0
1980-01-29,22.11,14.11,1005.50,999.90,15.93,2.37,6.02,,31.00,16.00,0.00,,0
1980-01-30,12.89,4.00,1016.60,999.90,18.83,5.14,7.00,,15.00,10.00,0.00,,0
1980-01-31,11.61,4.00,1020.80,999.90,19.96,2.73,4.99,,12.00,11.00,0.00,,0
1980-02-01,11.50,9.11,1018.80,999.90,5.95,2.62,4.99,,13.00,10.00,,,10000
1980-02-02,11.00,8.83,1019.70,999.90,13.20,3.14,6.02,,13.00,9.00,,,10000
1980-02-03,12.00,11.72,1015.70,999.90,3.38,1.29,2.01,,13.00,10.00,,,10000
1980-02-04,13.00,9.22,1018.20,999.90,12.71,3.24,4.99,,15.00,10.00,,,10000
1980-02-05,10.11,6.00,1021.20,999.90,11.43,1.65,2.98,,11.00,9.00,,,10000
1980-02-06,10.00,9.00,1019.40,999.90,4.83,2.01,4.01,,11.00,9.00,,,10000
1980-02-07,10.00,6.00,1021.90,999.90,19.96,3.86,6.02,,11.00,9.00,0.00,,0
1980-02-08,9.44,4.00,1025.30,999.90,19.96,3.34,4.01,,11.00,8.00,0.00,,0
1980-02-09,11.00,5.00,1024.80,999.90,19.96,1.65,4.01,,13.00,9.00,0.00,,0
1980-02-10,11.39,6.00,1024.40,999.90,19.96,2.31,4.01,,12.00,10.00,0.00,,0
1980-02-11,11.78,7.33,1025.00,999.90,13.84,2.11,4.01,,13.00,10.00,0.00,,0
1980-02-12,12.72,8.44,1023.00,999.90,9.66,1.29,2.01,,14.00,10.00,,,10000
1980-02-13,12.39,10.56,1022.50,999.90,10.30,2.26,4.01,,14.00,10.00,,,10000
1980-02-14,13.39,11.11,1023.50,999.90,11.75,2.16,4.01,,14.00,12.00,,,10000
1980-02-15,16.72,11.72,1022.10,999.90,7.56,1.49,2.98,,20.00,13.00,0.00,,0
1980-02-16,16.00,13.61,1021.40,999.90,6.28,0.62,2.01,,18.00,15.00,0.00,,0
1980-02-17,17.61,15.22,1020.20,999.90,6.76,0.00,,,20.00,15.00,,,10000
1980-02-18,18.11,16.89,1018.50,999.90,3.86,0.72,2.01,,20.00,16.00,,,10000
1980-02-19,19.61,18.00,1016.70,999.90,6.28,1.75,2.98,,22.00,18.00,0.00,,0
1980-02-20,19.56,18.83,1017.10,999.90,5.15,1.70,4.01,,21.00,19.00,,,10000
1980-02-21,18.83,18.17,1018.60,999.90,5.79,1.13,2.01,,20.00,18.00,,,10010
1980-02-22,17.89,17.11,1017.30,999.90,4.02,1.29,2.01,,18.00,17.00,,,10010
1980-02-23,18.44,18.00,1014.20,999.90,4.02,2.26,4.01,,19.00,17.00,,,10000
