DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
1995-01-01,14.67,13.83,1021.00,20.30,6.60,6.02,7.97,,24.50,12.72,0.51,,10000
1995-01-02,12.56,12.28,1019.30,18.70,7.40,4.17,6.02,,14.11,11.00,0.61,,10000
1995-01-03,11.72,9.44,1021.90,21.20,10.62,4.42,9.00,,14.22,11.00,0.10,,10000
1995-01-04,14.61,9.28,,999.90,10.46,3.04,4.01,,18.00,11.72,0.03,,0
1995-01-05,14.67,6.17,1027.20,25.50,10.78,2.11,6.02,,19.39,8.00,0.00,,0
1995-01-06,14.39,9.33,,999.90,8.21,1.54,2.98,,20.39,9.00,0.00,,0
1995-01-07,16.56,12.50,1021.80,21.10,11.59,1.85,4.01,,21.39,11.00,0.00,,0
1995-01-08,17.44,14.61,1020.90,20.10,8.85,0.77,2.01,,21.22,12.00,0.00,,100000
1995-01-09,18.72,16.94,,999.90,5.47,1.29,2.98,,21.89,16.72,0.00,,0
1995-01-10,20.61,18.94,1013.80,13.10,5.79,2.21,4.99,,24.78,16.89,0.00,,0
1995-01-11,20.61,19.28,1014.70,14.00,5.95,2.68,7.00,,25.11,15.00,0.00,,10000
1995-01-12,14.56,12.22,1020.20,19.60,8.69,4.32,9.00,,16.28,13.00,0.00,,10000
1995-01-13,14.22,12.17,,999.90,7.72,3.24,4.99,,15.50,13.00,0.00,,0
1995-01-14,13.39,12.72,,999.90,4.51,3.70,6.02,,15.00,13.00,0.00,,10000
1995-01-15,13.94,13.50,1023.30,22.60,5.95,2.47,4.99,,16.72,13.00,0.03,,10000
1995-01-16,15.11,13.56,1022.60,21.90,8.21,2.78,4.01,,24.89,13.00,0.00,,10000
1995-01-17,16.17,15.39,,999.90,6.12,1.34,2.98,,18.11,14.00,0.00,,0
1995-01-18,18.50,17.61,,999.90,3.54,1.39,4.01,,21.39,16.00,0.00,,110000
1995-01-19,20.78,18.83,1016.70,16.00,9.82,2.26,4.01,,25.22,18.00,0.00,,0
1995-01-20,20.83,19.39,,999.90,7.40,4.37,7.97,,25.50,17.39,0.00,,0
1995-01-21,22.11,20.22,1010.60,9.90,9.98,4.06,6.02,,25.50,19.00,0.00,,0
