DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
2021-01-01,13.11,-0.33,,999.90,8.05,2.06,4.58,,19.00,8.00,0.00,,0
2021-01-02,14.06,3.44,,999.90,6.76,2.01,3.60,,20.00,8.00,0.00,,0
2021-01-03,16.11,5.28,,999.90,7.56,2.57,5.09,,21.00,10.00,0.00,,0
2021-01-04,16.83,5.61,,999.90,7.24,1.44,3.09,,20.00,14.00,0.00,,0
2021-01-05,17.50,9.94,,999.90,4.99,1.95,3.60,,20.00,16.00,0.00,,0
2021-01-06,16.22,9.22,,999.90,5.47,2.47,4.12,,17.00,15.00,0.00,,0
2021-01-07,13.28,5.56,,999.90,8.85,4.89,6.17,,15.00,10.00,0.00,,0
2021-01-08,10.61,0.00,,999.90,9.98,4.37,6.69,,12.00,9.00,0.00,,0
2021-01-09,10.56,-3.39,,999.90,9.98,2.98,4.58,,12.00,9.00,0.00,,0
2021-01-10,11.44,-1.61,,999.90,9.82,2.31,5.09,,13.00,10.00,0.00,,0
2021-01-11,12.94,-1.94,,999.90,9.98,2.78,5.71,,16.00,11.00,,,10000
2021-01-12,14.72,-2.06,,999.90,9.17,2.47,6.17,,19.00,10.00,0.00,,0
2021-01-13,15.50,2.78,,999.90,7.56,2.47,5.71,,21.00,9.00,0.00,,0
2021-01-14,16.56,8.22,,999.90,5.47,1.95,3.60,,21.00,10.00,0.00,,0
2021-01-15,17.11,11.72,,999.90,3.70,1.65,4.12,,19.00,14.00,0.00,,0
2021-01-16,18.06,13.33,,999.90,3.22,1.59,3.09,,20.00,16.00,,,10000
2021-01-17,14.06,6.61,,999.90,8.69,3.40,6.69,,16.00,10.00,,,10000
2021-01-18,14.78,4.78,,999.90,7.89,2.31,4.58,,19.00,10.00,0.00,,0
2021-01-19,15.72,7.78,,999.90,5.79,2.78,5.09,,21.00,10.00,0.00,,0
2021-01-20,17.28,10.56,,999.90,3.86,1.95,3.09,,21.00,13.00,0.00,,0
2021-01-21,17.06,13.89,,999.90,2.09,1.44,3.09,,18.00,16.00,,,110000
2021-01-22,18.61,12.94,,999.90,3.70,1.70,3.09,,23.00,14.00,0.00,,0
2021-01-23,19.39,12.83,,999.90,3.86,2.47,3.60,,24.00,14.00,0.00,,0
2021-01-24,20.44,14.78,,999.90,3.70,3.70,5.09,,24.00,15.00,,,10000
2021-01-25,20.44,18.06,,999.90,4.02,2.11,4.12,,22.00,19.00,,,10000
2021-01-26,20.89,15.94,,999.90,6.76,3.40,5.71,,25.00,18.00,0.00,,0
2021-01-27,20.89,15.33,,999.90,8.05,3.29,4.58,,23.00,19.00,0.00,,0
2021-01-28,17.39,12.61,,999.90,8.37,2.83,6.17,,20.00,16.00,,,10000
2021-01-29,18.22,12.00,,999.90,6.60,2.52,4.12,,22.00,15.00,0.00,,0
2021-01-30,18.06,14.11,,999.90,3.86,2.16,4.12,,19.00,16.00,,,10000
2021-01-31,18.33,16.11,,999.90,2.41,1.39,3.09,,19.00,18.00,,,110000
2021-02-01,20.39,16.28,,999.90,4.99,2.26,4.12,,23.00,18.00,0.00,,0
2021-02-02,20.50,16.61,,999.90,5.79,2.98,5.09,,23.00,18.00,,,10000
2021-02-03,20.78,15.78,,999.90,6.92,2.11,5.09,,26.00,17.00,0.00,,0
2021-02-04,19.78,16.17,,999.90,4.18,2.16,3.60,,24.00,17.00,,,10000
2021-02-05,21.11,15.11,,999.90,6.28,2.78,4.12,,26.00,17.00,0.00,,0
2021-02-06,20.06,15.00,,999.90,5.63,2.42,4.12,,25.00,16.00,0.00,,0
2021-02-07,22.17,15.61,,999.90,4.99,2.21,4.12,,26.00,17.00,0.00,,0
2021-02-08,19.17,15.72,,999.90,6.92,3.34,6.69,,24.00,15.00,,,10000
2021-02-09,15.50,13.61,,999.90,6.44,2.73,5.09,,17.00,14.00,,,110000
2021-02-10,18.94,12.72,,999.90,6.76,2.21,3.60,,23.00,14.00,0.00,,0
2021-02-13,20.56,13.72,,999.90,9.98,2.52,4.58,,23.00,19.00,0.00,,0
2021-02-14,21.56,13.33,,999.90,8.37,2.37,3.60,,26.00,17.00,0.00,,0
2021-02-15,20.44,17.06,,999.90,6.28,2.62,4.12,,22.00,18.00,0.00,,0
2021-02-16,20.11,16.50,,999.90,5.63,2.68,4.12,9.31,21.00,19.00,,,10000
2021-02-17,19.56,13.39,,999.90,9.66,3.04,5.71,,21.00,18.00,0.00,,0
2021-02-18,20.44,14.39,,999.90,7.40,1.18,3.09,,23.00,18.00,0.00,,0
2021-02-19,21.78,14.44,,999.90,6.92,1.90,3.60,,23.00,19.00,0.00,,0
2021-02-21,20.00,16.72,,999.90,7.56,2.93,3.09,,,,0.00,,0
2021-02-22,22.11,16.72,,999.90,6.92,3.04,5.71,,25.00,20.00,0.00,,0
2021-02-23,22.61,17.06,,999.90,6.76,2.57,4.12,,25.00,20.00,0.00,,0
2021-02-24,22.61,17.56,,999.90,7.72,4.22,6.17,,25.00,21.00,,,10000
2021-02-25,23.17,19.28,,999.90,7.24,4.17,6.17,,26.00,21.00,,,10000
2021-02-26,23.78,18.56,,999.90,8.21,3.29,5.71,,28.00,19.00,,,10000
2021-02-27,17.50,14.22,,999.90,7.40,3.96,5.71,,19.00,16.00,,,10000
2021-02-28,17.89,17.00,,999.90,2.41,1.80,3.09,,20.00,16.00,,,110000
2021-03-01,20.72,18.83,,999.90,4.51,2.88,7.72,,23.00,19.00,,,10000
2021-03-02,19.61,11.56,,999.90,9.50,2.21,4.58,,21.00,18.00,0.00,,0
2021-03-03,17.28,14.33,,999.90,6.60,2.37,4.12,,19.00,16.00,,,10000
2021-03-04,17.28,16.00,,999.90,4.18,2.21,5.09,,19.00,16.00,,,10000
2021-03-05,19.72,18.72,,999.90,1.61,1.44,2.62,,20.00,18.00,,,110000
2021-03-06,23.72,20.89,,999.90,6.76,2.93,5.09,,27.00,20.00,,,10000
2021-03-07,22.50,16.72,,999.90,7.72,3.04,5.09,,25.00,20.00,,,10010
2021-03-08,22.11,21.56,,999.90,3.38,2.88,5.09,,24.00,20.00,,,110000
2021-03-09,23.50,21.44,,999.90,7.56,4.22,6.17,,26.00,22.00,,,10000
2021-03-10,23.94,20.56,,999.90,7.24,4.73,7.20,,28.00,22.00,,,10000
2021-03-11,23.89,20.61,,999.90,7.72,3.86,5.71,,27.00,22.00,,,10000
2021-03-12,24.28,19.94,,999.90,6.92,3.65,5.09,,28.00,22.00,0.00,,0
2021-03-13,22.72,20.44,,999.90,5.15,2.21,3.09,,25.00,19.00,0.00,,0
2021-03-14,23.61,19.06,,999.90,6.60,3.60,5.09,,27.00,20.00,0.00,,0
2021-03-15,24.33,20.06,,999.90,7.89,3.91,5.09,,26.00,22.00,0.00,,0
2021-03-16,23.33,22.06,,999.90,5.63,3.86,5.71,,25.00,22.00,,,110000
2021-03-17,24.22,22.06,,999.90,6.76,4.12,5.71,,27.00,23.00,,,10000
2021-03-18,24.22,22.44,,999.90,5.31,3.81,5.71,,26.00,23.00,,,10000
2021-03-19,25.06,22.56,,999.90,7.56,3.86,5.71,,28.00,23.00,,,10000
2021-03-20,24.33,23.33,,999.90,5.79,2.83,4.58,,26.00,23.00,,,10000
2021-03-21,19.06,11.78,,999.90,9.17,4.58,9.31,13.89,23.00,17.00,,,10000
2021-03-22,18.22,6.50,,999.90,9.98,2.62,4.58,,20.00,17.00,0.00,,0
2021-03-23,19.39,8.83,,999.90,8.85,2.26,4.12,,22.00,17.00,,,10000
2021-03-24,20.17,14.44,,999.90,4.83,2.26,3.60,,21.00,18.00,,,10000
2021-03-25,20.11,19.61,,999.90,1.45,2.26,3.60,,21.00,19.00,,,110000
2021-03-26,23.11,22.17,,999.90,4.18,4.01,5.71,,24.00,21.00,,,10000
2021-03-27,23.00,22.44,,999.90,3.22,3.24,5.09,,25.00,22.00,,,10000
2021-03-28,23.61,23.11,,999.90,4.02,2.62,4.12,,24.00,23.00,,,10000
2021-03-29,25.44,23.67,,999.90,3.38,3.14,5.71,,29.00,23.00,,,10000
2021-03-30,25.00,24.22,,999.90,3.86,2.57,3.60,,27.00,24.00,,,10000
2021-03-31,25.94,24.39,,999.90,4.83,3.34,5.09,,29.00,24.00,,,10000
2021-04-01,26.39,24.61,,999.90,6.28,3.50,4.58,,29.00,25.00,,,10000
2021-04-02,25.28,24.61,,999.90,4.18,2.98,5.09,,27.00,24.00,,,10000
2021-04-03,25.06,24.28,,999.90,4.83,2.68,4.58,,27.00,24.00,,,10000
2021-04-04,24.44,22.72,,999.90,6.28,3.40,6.17,,29.00,21.00,,,10000
2021-04-05,22.72,20.94,,999.90,6.76,2.93,5.09,,25.00,21.00,,,10000
2021-04-06,25.39,22.06,,999.90,7.08,4.01,6.17,,30.00,22.00,0.00,,0
2021-04-07,25.83,22.17,,999.90,7.40,3.81,5.09,,30.00,24.00,,,10000
2021-04-08,25.50,22.06,,999.90,8.69,4.48,6.69,,30.00,19.00,,,10000
2021-04-09,19.61,18.17,,999.90,7.89,2.98,4.12,,21.00,18.00,,,10000
2021-04-10,19.78,19.17,,999.90,4.02,2.11,4.12,,21.00,18.00,,,10000
2021-04-11,25.11,22.83,,999.90,6.28,3.76,6.69,,29.00,21.00,,,110000
2021-04-12,26.56,22.39,,999.90,9.33,4.22,6.17,,30.00,24.00,,,10000
2021-04-13,25.72,23.89,,999.90,8.37,3.34,5.09,,27.00,24.00,,,10000
2021-04-14,26.61,23.67,,999.90,8.69,3.91,6.17,,30.00,25.00,,,10000
2021-04-15,25.83,24.72,,999.90,7.72,3.45,5.71,,27.00,25.00,,,10000
2021-04-16,27.11,23.22,,999.90,8.85,3.91,5.71,,31.00,23.00,,,10010
2021-04-17,21.94,20.56,,999.90,9.66,2.62,5.09,,23.00,21.00,,,10000
2021-04-18,22.72,21.06,,999.90,6.76,2.37,3.09,,24.00,21.00,,,10000
2021-04-19,26.89,23.56,,999.90,8.37,3.19,5.09,,31.00,23.00,0.00,,0
2021-04-20,28.56,24.44,,999.90,9.66,4.48,6.69,,32.00,26.00,0.00,,0
2021-04-21,28.83,24.44,,999.90,9.82,4.78,6.69,,33.00,27.00,,,10000
2021-04-22,28.11,24.89,,999.90,9.82,4.32,7.20,,32.00,26.00,,,10000
2021-04-23,27.83,25.94,,999.90,9.01,4.37,6.17,,31.00,26.00,,,10000
2021-04-24,28.22,26.17,,999.90,8.69,4.58,6.17,,31.00,26.00,,,10000
2021-04-25,26.78,25.94,,999.90,5.31,3.29,4.58,,29.00,25.00,,,10010
2021-04-26,22.61,21.22,,999.90,8.85,3.09,6.69,13.38,25.00,21.00,,,10010
2021-04-27,24.22,21.28,,999.90,9.50,2.78,3.60,,27.00,22.00,,,10000
2021-04-28,22.56,19.83,,999.90,9.66,3.50,6.69,10.29,25.00,20.00,,,10000
2021-04-29,24.39,18.50,,999.90,8.53,2.11,3.09,,28.00,21.00,0.00,,0
2021-04-30,25.72,20.00,,999.90,8.85,2.83,5.71,,31.00,22.00,0.00,,0
2021-05-01,26.28,23.06,,999.90,6.76,2.83,4.58,,29.00,24.00,,,10000
2021-05-02,28.06,25.00,,999.90,8.21,3.65,6.17,,32.00,25.00,,,10000
2021-05-03,29.06,24.56,,999.90,9.98,4.48,7.20,,34.00,26.00,0.00,,0
2021-05-04,29.39,24.61,,999.90,9.82,4.12,7.20,,34.00,22.00,,,10000
2021-05-05,23.50,22.33,,999.90,9.01,3.09,5.71,,26.00,22.00,,,10010
2021-05-06,27.33,23.22,,999.90,7.40,2.68,4.58,,32.00,23.00,0.00,,0
2021-05-07,28.22,23.78,,999.90,8.21,3.14,5.71,,32.00,25.00,0.00,,0
2021-05-08,27.94,25.44,,999.90,8.85,2.83,5.09,,31.00,26.00,0.00,,0
2021-05-09,29.28,25.67,,999.90,8.85,3.70,5.71,,33.00,26.00,0.00,,0
2021-05-10,30.44,25.61,,999.90,9.66,4.32,7.20,,35.00,27.00,0.00,,0
2021-05-11,28.72,24.39,,999.90,8.37,2.83,7.72,9.31,36.00,25.00,,,10010
2021-05-12,29.61,26.17,,999.90,9.17,3.60,6.69,,34.00,24.00,,,10000
2021-05-13,26.89,25.11,,999.90,8.69,3.19,7.20,,31.00,25.00,,,10010
2021-05-14,30.00,25.33,,999.90,9.82,4.53,6.69,,34.00,27.00,0.00,,0
2021-05-15,30.11,26.11,,999.90,9.66,4.22,6.69,,34.00,27.00,0.00,,0
2021-05-16,30.28,26.06,,999.90,9.82,3.91,7.20,,35.00,27.00,,,10000
2021-05-17,30.17,26.11,,999.90,9.98,4.37,6.69,,34.00,28.00,0.00,,0
2021-05-18,30.06,25.94,,999.90,9.98,4.99,7.20,,33.00,27.00,0.00,,0
2021-05-19,30.89,26.33,,999.90,9.98,4.32,6.69,,36.00,27.00,0.00,,0
2021-05-20,30.94,26.61,,999.90,9.82,4.22,6.17,,36.00,27.00,,,10010
2021-05-21,30.06,27.06,,999.90,9.82,4.12,5.71,,34.00,28.00,0.00,,0
2021-05-22,31.28,26.89,,999.90,9.98,4.84,7.72,,36.00,29.00,,,10000
2021-05-23,30.28,26.06,,999.90,9.98,4.12,6.69,,35.00,25.00,,,10000
2021-05-24,27.28,22.06,,999.90,9.82,3.29,5.71,,30.00,23.00,,,10010
2021-05-25,25.22,23.89,,999.90,7.24,2.11,5.09,,27.00,22.00,,,10010
2021-05-26,29.39,25.56,,999.90,8.53,3.45,6.69,,34.00,27.00,,,10000
2021-05-27,29.72,25.61,,999.90,9.33,3.24,6.69,,33.00,27.00,,,10000
2021-05-28,30.33,26.06,,999.90,9.01,3.45,6.17,,34.00,28.00,0.00,,0
2021-05-29,31.22,26.06,,999.90,9.66,3.55,7.20,,36.00,28.00,0.00,,0
2021-05-30,32.33,25.44,,999.90,9.66,2.88,5.71,,38.00,29.00,0.00,,0
2021-05-31,33.78,24.39,,999.90,9.33,2.78,5.09,,39.00,29.00,0.00,,0
2021-06-01,34.50,24.22,,999.90,9.50,3.45,5.71,,39.00,29.00,0.00,,0
2021-06-02,33.33,26.11,,999.90,8.21,3.19,5.09,,40.00,30.00,0.00,,0
2021-06-03,33.33,25.17,,999.90,8.85,3.55,10.29,12.91,40.00,26.00,0.00,,0
2021-06-04,26.78,20.61,,999.90,9.98,2.57,6.17,,29.00,25.00,0.00,,0
2021-06-05,28.56,20.22,,999.90,7.40,1.49,2.62,,32.00,26.00,0.00,,0
2021-06-06,29.61,24.28,,999.90,5.95,2.83,5.09,,33.00,27.00,,,10000
2021-06-07,28.44,24.00,,999.90,8.53,2.88,6.69,,34.00,26.00,,,10010
2021-06-08,28.00,24.72,,999.90,7.89,2.01,7.72,,34.00,26.00,,,10010
