DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
1996-01-01,16.50,7.39,1022.20,21.50,9.17,1.90,2.98,,23.11,9.00,0.00,,0
1996-01-02,16.00,11.94,1021.40,20.70,4.99,1.59,4.01,,22.28,8.00,0.00,,0
1996-01-03,17.22,13.50,1021.00,20.20,4.83,2.26,11.99,,23.50,11.00,0.00,,0
1996-01-04,17.56,12.72,1017.00,16.30,7.08,2.26,4.99,,24.00,11.00,0.00,,100000
1996-01-05,18.50,16.89,,999.90,3.22,1.95,2.98,,24.00,15.00,0.00,,0
1996-01-06,19.06,17.50,1017.80,17.10,3.86,2.06,2.98,,22.89,16.00,0.00,,100000
1996-01-07,19.33,17.22,,999.90,4.67,1.80,2.98,,24.50,16.00,0.00,,0
1996-01-08,19.89,15.67,1020.80,20.10,7.40,2.68,6.02,,27.00,15.00,0.00,,110000
1996-01-09,16.33,10.94,1021.10,20.40,8.69,3.50,6.02,,19.22,13.78,0.00,,0
1996-01-10,15.78,11.50,1018.80,18.10,7.56,2.83,4.01,,18.00,14.00,0.00,,0
1996-01-11,17.94,15.44,1014.80,14.10,8.53,1.75,2.01,,19.78,15.89,0.00,,0
1996-01-12,20.44,17.50,1014.20,13.50,8.05,1.80,2.98,,23.89,17.72,0.00,,100000
1996-01-13,20.56,17.94,1013.80,13.10,12.23,1.85,2.98,,24.72,17.89,0.00,,10000
1996-01-14,18.94,17.67,1012.30,11.60,9.98,2.98,4.01,,19.61,17.89,0.00,,10000
1996-01-15,20.78,18.00,1014.90,14.20,14.81,2.57,4.01,,25.89,16.72,0.00,,10000
1996-01-16,16.50,14.56,1015.40,14.70,9.66,2.57,2.98,,18.11,15.72,0.00,,10000
1996-01-17,19.00,17.94,1013.00,12.30,4.99,1.23,2.01,,21.72,16.61,0.03,,110000
1996-01-18,18.89,16.44,1014.90,14.20,8.85,2.73,4.99,,25.72,12.72,0.10,,110000
1996-01-19,12.11,9.33,1016.30,15.60,12.23,2.98,4.99,,13.89,10.50,0.00,,10000
1996-01-20,12.28,11.50,1013.70,13.00,4.02,1.49,4.01,,13.61,10.50,0.05,,10000
1996-01-21,15.22,14.28,1013.90,13.20,4.99,0.87,2.01,,16.28,13.11,0.00,,10000
1996-01-22,15.44,14.56,1015.30,14.60,4.83,2.26,4.01,,17.50,13.28,0.05,,10000
1996-01-23,14.00,11.33,1017.10,16.40,12.71,2.11,2.98,,16.28,13.11,0.10,,10000
1996-01-24,14.94,14.22,1014.40,13.70,4.67,0.10,0.98,,16.61,13.22,0.10,,110000
1996-01-25,13.78,12.22,1015.60,14.90,6.92,2.52,4.01,,17.22,10.72,0.03,,10000
1996-01-26,11.00,8.33,1019.30,18.70,7.72,3.24,4.01,,13.00,10.50,0.05,,10000
1996-01-27,11.61,7.33,1021.70,21.00,14.97,2.73,4.01,,14.39,9.78,0.00,,10000
1996-01-28,12.61,7.50,1021.40,20.70,18.83,2.11,4.01,,14.72,9.78,0.03,,0
1996-01-29,12.94,9.83,1022.10,21.40,8.21,2.16,4.01,,15.39,10.61,0.00,,10000
1996-01-30,13.94,9.83,,999.90,8.53,2.83,4.01,,15.11,12.00,0.00,,0
1996-01-31,12.78,10.94,,999.90,6.12,3.14,6.02,,14.11,11.00,0.00,,10000
1996-02-01,16.06,10.39,1023.30,22.60,8.85,2.57,4.99,,19.50,12.89,0.00,,0
1996-02-02,17.22,8.89,1023.10,22.40,7.40,2.68,6.02,,22.61,13.00,0.00,,0
1996-02-03,17.44,11.11,,999.90,5.79,2.62,4.99,,20.61,11.39,0.00,,0
1996-02-04,16.83,12.94,1020.00,19.30,5.95,2.16,4.01,,20.78,14.00,0.00,,0
1996-02-05,17.00,14.11,,999.90,3.70,1.29,4.01,,21.00,13.00,0.00,,0
1996-02-06,18.17,14.89,,999.90,5.47,2.31,4.99,,23.28,13.00,0.00,,0
1996-02-07,19.00,16.17,,999.90,7.08,1.95,2.98,,23.22,16.00,0.00,,10000
1996-02-08,19.67,16.61,,999.90,7.72,2.06,4.01,,24.39,16.00,0.00,,0
