DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
2012-01-01,15.89,12.39,1020.60,20.30,7.72,1.65,2.98,,17.50,13.11,0.00,,0
2012-01-02,14.78,14.17,1018.40,18.10,3.70,1.23,2.01,,15.22,14.61,0.03,,10000
2012-01-03,14.78,14.17,1019.00,18.70,6.60,2.11,2.98,,17.89,11.78,0.10,,10000
2012-01-04,9.83,8.67,1024.00,23.70,9.17,2.83,4.99,,10.89,8.22,0.61,,10000
2012-01-05,10.44,8.11,1022.10,21.80,9.98,2.52,4.01,,12.22,7.89,0.00,,0
2012-01-06,11.83,10.50,1023.00,22.70,6.92,2.01,2.98,,13.50,9.61,0.00,,10000
2012-01-07,11.89,11.11,1024.80,24.50,6.28,2.01,2.98,,12.72,10.61,0.00,,10000
2012-01-08,12.94,11.61,1024.10,23.80,7.56,1.85,2.98,,14.00,11.22,0.03,,10000
2012-01-09,13.50,11.83,1022.90,22.60,8.53,1.39,2.01,,14.39,11.72,0.00,,10000
2012-01-10,16.22,12.83,1021.70,21.40,13.68,1.23,2.98,,19.11,13.28,0.00,,0
2012-01-11,15.56,12.78,1022.80,22.50,9.98,1.85,2.98,,17.00,13.78,0.00,,10000
2012-01-12,14.22,12.72,1020.90,20.60,9.17,1.23,2.01,,15.11,13.00,0.43,,10000
2012-01-13,16.00,14.28,1017.50,17.20,8.21,0.77,0.98,,17.28,13.89,0.00,,10000
2012-01-14,16.78,16.28,1012.30,12.00,4.02,0.77,0.98,,17.39,15.28,0.08,,10000
2012-01-15,17.17,16.78,1010.30,10.00,6.92,1.23,2.01,,18.50,16.22,0.79,,10000
2012-01-16,16.78,14.94,1011.80,11.50,9.98,1.49,2.98,,19.50,15.50,0.08,,0
2012-01-17,17.61,15.83,1011.00,10.70,10.94,1.75,2.98,,21.00,15.50,0.00,,10000
2012-01-18,18.94,18.39,1010.70,10.40,3.54,0.62,2.01,,21.00,16.50,0.00,,110000
2012-01-19,19.17,18.83,1011.60,11.30,3.38,1.39,2.01,,21.00,17.78,0.10,,110000
2012-01-20,18.28,17.89,1011.40,11.10,4.02,1.49,2.98,,19.28,17.61,0.43,,10000
2012-01-21,18.00,17.78,1010.40,10.10,7.72,1.85,2.98,,18.89,17.50,0.30,,10000
2012-01-22,12.17,11.67,1017.20,16.90,5.79,2.98,4.01,,14.89,9.78,0.30,,10000
2012-01-23,11.78,9.44,1018.30,18.00,11.27,1.75,2.98,,13.50,9.11,0.15,,0
2012-01-24,11.22,9.94,1018.70,18.40,6.92,2.37,2.98,,12.89,9.00,0.00,,10000
2012-01-25,10.89,7.17,1020.30,20.00,10.94,1.65,2.98,,12.28,8.61,0.10,,10000
2012-01-26,11.50,11.06,1017.30,17.00,4.83,0.77,2.01,,12.22,9.78,0.10,,10000
2012-01-27,13.28,12.94,1014.90,14.50,4.83,0.87,2.01,,13.89,11.22,0.10,,10000
2012-01-28,14.28,13.61,1015.80,15.50,5.47,1.49,2.01,,15.50,12.89,0.10,,10000
2012-01-29,14.39,12.67,1018.10,17.80,8.53,1.49,2.01,,15.39,12.50,0.08,,10000
2012-01-30,12.61,11.11,1021.00,20.70,7.40,2.83,4.01,,13.78,11.61,0.00,,10000
2012-01-31,13.61,11.00,1020.70,20.40,9.98,0.87,2.01,,15.00,11.22,0.00,,0
