DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
2017-01-01,17.28,15.61,1020.50,16.70,14.00,1.49,2.01,,17.72,16.39,0.18,,10000
2017-01-02,20.72,17.78,1019.20,15.40,18.99,,,,22.78,17.22,0.03,,0
2017-01-03,22.17,19.17,1017.80,14.00,12.07,,,,25.22,19.78,0.00,,0
2017-01-04,22.61,17.33,1016.10,12.30,15.93,,,,25.22,19.11,0.00,,0
2017-01-05,20.28,17.67,1015.30,11.60,18.99,2.01,2.98,,21.50,19.50,0.00,,10000
2017-01-06,21.00,18.17,1013.70,9.90,12.07,,,,22.78,18.89,0.00,,0
2017-01-10,20.39,19.83,1013.70,9.90,9.98,,,,20.78,20.00,1.91,,10000
2017-01-11,18.33,17.78,1013.00,9.20,5.47,,,,20.39,15.89,9.04,,10000
2017-01-12,13.50,11.89,1016.20,12.30,15.45,1.75,2.98,,15.00,11.78,4.14,,10000
2017-01-13,14.67,10.50,1016.80,13.00,19.96,,,,16.22,11.72,1.57,,0
2017-01-14,15.78,11.89,1017.70,13.80,19.96,1.49,2.01,,17.72,14.00,0.00,,0
2017-01-15,16.22,11.72,1019.50,15.70,19.96,,,,17.72,14.89,0.00,,0
2017-01-16,15.39,13.28,1017.80,14.00,17.54,,,,16.28,14.39,0.00,,10000
2017-01-17,16.11,12.94,1019.10,15.30,14.00,1.23,2.01,,17.89,14.61,0.05,,10000
2017-01-18,17.56,15.22,1019.00,15.20,16.58,,,,20.00,15.00,0.00,,0
2017-01-19,18.50,16.22,1019.10,15.30,15.93,2.52,4.01,,19.50,17.39,0.15,,10000
2017-01-20,17.50,11.28,1021.40,17.60,19.96,2.01,2.98,,18.61,16.11,0.00,,0
2017-01-21,15.44,10.56,1025.80,21.80,19.96,2.01,4.01,,15.61,15.39,0.00,,0
2017-01-22,17.44,11.89,1024.60,20.80,19.96,,,,22.78,15.11,0.00,,0
2017-01-23,17.28,11.89,1023.30,19.50,15.93,,,,20.39,14.22,0.00,,0
2017-01-24,18.83,13.00,1022.70,18.80,15.93,,,,22.22,12.61,0.00,,0
2017-01-25,21.22,15.72,1023.60,19.80,18.99,,,,24.00,17.89,0.00,,0
2017-01-26,20.33,15.78,1021.20,17.40,15.93,,,,23.89,17.61,0.00,,0
2017-01-27,20.17,15.17,1019.80,16.00,15.93,,,,22.61,16.61,0.00,,0
2017-01-28,20.17,15.83,1014.70,10.90,15.93,,,,23.28,17.89,0.00,,0
2017-01-29,21.17,16.83,1014.60,10.90,17.54,,,,24.61,17.28,0.00,,0
2017-01-30,20.33,16.50,1016.50,12.70,12.07,,,,24.00,17.11,0.00,,0
2017-01-31,20.33,16.78,1017.20,13.40,15.93,,,,22.78,16.78,0.00,,0
2017-02-01,20.61,17.50,1019.50,15.70,8.53,,,,22.50,18.61,0.00,,0
2017-02-02,21.22,16.94,1018.80,15.00,15.93,,,,24.00,19.39,0.00,,0
2017-02-03,20.28,17.78,1015.80,12.00,10.94,,,,22.50,18.78,0.00,,10010
2017-02-04,21.61,18.56,1013.60,9.90,15.93,,,,24.50,18.39,3.15,,0
2017-02-05,20.67,17.89,1013.30,9.50,15.93,2.01,2.98,,22.00,19.11,0.00,,0
2017-02-06,20.33,15.89,1012.30,8.60,19.96,2.52,2.98,,21.61,18.28,0.00,,0
2017-02-07,21.44,18.11,1011.90,8.20,15.93,2.26,2.98,,23.11,19.11,0.00,,0
2017-02-08,20.83,14.56,1015.80,12.00,15.93,,,,27.11,18.22,0.00,,0
2017-02-09,16.72,7.44,1020.20,16.50,27.52,2.98,6.02,,18.22,15.39,0.00,,0
2017-02-10,15.56,6.67,1022.50,18.60,19.96,,,,16.61,14.11,0.00,,0
2017-02-11,15.83,7.44,1025.90,22.00,19.96,1.49,2.01,,17.22,14.22,0.00,,0
2017-02-12,16.56,8.61,1025.50,21.60,19.96,,,,19.39,13.61,0.00,,0
2017-02-13,16.67,10.00,1025.10,21.20,19.96,,,,20.28,12.89,0.00,,0
2017-02-14,18.11,13.39,1025.80,21.90,12.07,,,,21.61,12.89,0.00,,0
2017-02-15,18.94,15.28,1023.20,19.40,12.07,,,,21.72,14.50,0.00,,0
2017-02-16,21.17,17.22,1018.00,14.30,18.99,,,,23.39,18.00,0.03,,10000
2017-02-17,21.50,17.33,1018.90,15.20,12.07,,,,26.39,19.00,0.00,,0
2017-02-18,22.00,15.94,1019.60,15.80,15.93,,,,25.39,19.00,0.00,,0
2017-02-19,21.39,16.11,1013.20,9.40,15.93,2.98,4.99,,24.89,16.28,0.00,,0
2017-02-20,22.56,19.11,1009.90,6.20,19.96,2.52,4.01,,25.22,20.22,0.00,,0
2017-02-21,24.06,20.33,1012.00,8.20,15.93,2.98,4.99,,25.78,22.00,0.00,,0
2017-02-22,25.22,21.72,1010.80,7.10,12.07,2.26,4.01,,27.22,22.61,0.00,,0
2017-02-23,18.44,13.28,1016.60,12.80,18.99,,,,23.61,14.89,0.03,,10000
2017-02-24,15.44,7.22,1021.70,17.80,19.96,2.26,2.98,,16.78,14.22,0.00,,0
2017-02-25,14.72,8.39,1021.60,17.80,19.96,,,,15.39,13.11,0.00,,0
2017-02-26,17.06,8.39,1021.00,17.10,19.96,,,,18.39,14.00,0.00,,0
2017-02-27,18.06,9.50,1021.20,17.30,19.96,,,,19.50,16.11,0.00,,0
2017-02-28,17.28,12.67,1018.80,15.00,19.96,,,,18.00,16.72,0.00,,0
2017-03-01,16.61,14.06,1021.50,17.60,18.99,1.75,2.01,,17.28,15.11,0.00,,10000
2017-03-02,19.72,12.06,1017.50,13.70,15.93,1.49,2.01,,23.50,15.50,0.00,,0
2017-03-03,19.61,14.78,1012.20,8.40,18.99,,,,22.11,15.78,0.00,,0
2017-03-04,20.94,18.72,1009.80,6.10,13.04,,,,22.00,18.89,0.03,,10000
2017-03-05,22.11,20.33,1009.40,5.70,14.97,,,,23.11,20.78,0.03,,10000
2017-03-06,20.61,16.17,1012.80,9.10,15.93,,,,21.39,18.61,0.00,,0
2017-03-07,16.17,14.78,1015.00,11.20,8.05,,,,17.28,15.39,0.05,,10000
2017-03-08,17.06,13.78,1016.20,12.40,19.47,,,,18.89,15.39,0.10,,10000
2017-03-09,16.00,14.67,1013.00,9.20,6.92,,,,16.72,15.11,0.38,,10000
2017-03-10,19.44,16.67,1010.20,6.60,14.97,,,,21.39,15.72,0.13,,0
2017-03-11,20.78,19.67,1011.30,7.60,6.92,,,,22.00,18.72,0.00,,10000
2017-03-12,22.06,21.56,1008.90,5.20,6.92,,,,22.61,20.78,0.30,,10000
2017-03-13,24.22,22.50,1008.10,4.40,12.07,2.01,2.01,,25.89,22.00,0.28,,10000
2017-03-14,23.78,20.44,1011.60,7.90,13.52,,,,27.61,20.39,0.05,,0
2017-03-15,18.39,17.78,1013.20,9.40,4.02,,,,18.50,18.11,0.13,,10000
2017-03-17,18.83,18.50,1012.50,8.70,6.92,,,,19.78,17.50,1.55,,10000
2017-03-18,22.50,21.67,1012.20,8.40,8.53,,,,24.00,19.39,0.51,,10000
2017-03-19,23.94,22.50,1011.80,8.20,12.07,2.73,4.01,,25.61,21.22,0.41,,10000
2017-03-20,24.50,22.61,1011.80,8.10,9.98,,,,25.39,22.89,0.10,,10000
2017-03-21,24.61,21.61,1010.20,6.50,15.93,,,,27.22,22.78,0.05,,0
2017-03-22,25.22,22.39,1008.80,5.10,18.99,2.26,4.01,,27.50,22.78,0.03,,10000
2017-03-23,25.89,22.50,1010.10,6.40,18.99,3.24,4.99,,28.39,23.89,0.03,,0
2017-03-27,18.89,13.11,1020.60,16.80,27.52,1.49,2.01,,20.22,16.22,0.00,,0
2017-03-28,20.39,16.50,1015.10,11.30,18.99,,,,21.78,18.11,0.13,,10000
2017-03-29,22.00,20.06,1014.50,10.70,18.99,,,,23.22,19.50,0.08,,10000
2017-04-01,21.61,13.89,1019.70,16.00,34.92,,,,25.00,18.00,0.00,,0
2017-04-02,21.67,15.00,1019.70,15.90,15.93,,,,25.50,17.72,0.00,,0
2017-04-03,22.56,18.00,1017.30,13.60,19.96,,,,25.28,19.50,0.00,,0
2017-04-04,22.22,19.33,1014.10,10.40,18.99,2.01,2.98,,23.50,20.50,0.00,,0
2017-04-05,22.78,20.28,1010.50,6.90,17.54,2.26,4.01,,23.78,21.61,0.00,,10000
2017-04-06,24.39,22.56,1009.00,5.40,12.07,,,,25.61,21.39,0.03,,0
2017-04-10,27.44,24.72,1002.10,998.40,12.07,,,,31.00,24.50,0.00,,0
2017-04-11,28.50,23.78,1004.20,0.60,15.13,2.01,2.98,,32.78,24.39,0.00,,100000
2017-04-12,22.78,17.56,1013.00,9.20,19.96,2.26,2.98,,24.61,22.00,0.20,,0
2017-04-13,22.83,17.28,1016.00,12.30,34.92,,,,25.61,21.11,0.00,,0
2017-04-14,23.44,19.17,1012.20,8.50,19.96,,,,26.78,20.61,0.00,,0
2017-04-15,24.11,22.44,1010.10,6.40,15.45,2.01,2.01,,25.61,22.39,0.03,,10000
2017-04-16,25.00,23.89,1010.80,7.00,13.04,2.01,2.98,,25.72,23.89,0.10,,10000
2017-04-17,24.39,23.11,1010.30,6.60,14.00,,,,25.78,22.50,0.38,,10000
2017-04-18,21.50,20.89,1008.90,5.20,14.00,,,,22.00,20.50,4.98,,10000
2017-04-19,26.50,23.61,1005.30,1.70,18.99,,,,29.22,21.78,0.25,,10000
2017-04-20,28.33,24.44,1004.90,1.30,19.96,,,,30.89,25.72,0.00,,0
2017-04-21,25.72,21.39,1008.10,4.40,17.54,,,,33.78,21.39,0.61,,10
2017-04-22,23.00,15.50,1013.60,9.80,26.55,,,,25.00,20.39,0.13,,10000
2017-04-23,22.00,18.11,1013.20,9.50,18.99,,,,23.22,20.61,0.03,,10000
2017-04-24,22.22,20.22,1010.50,6.80,10.94,,,,23.39,20.61,0.03,,10000
2017-04-25,24.28,22.22,1008.30,4.60,15.93,,,,25.61,21.61,0.25,,0
2017-04-26,27.39,23.00,1009.10,5.50,15.93,,,,29.39,23.78,0.00,,0
2017-04-27,24.28,17.72,1013.70,10.00,27.52,2.01,2.98,,24.78,23.39,0.48,,10000
2017-04-28,24.00,16.39,1014.80,11.10,27.52,,,,26.61,21.89,0.00,,0
2017-04-29,25.06,19.22,1012.40,8.70,19.96,,,,28.61,21.28,0.00,,0
2017-04-30,24.61,21.39,1009.10,5.40,19.96,,,,25.61,22.22,0.00,,0
2017-05-01,27.94,24.67,1007.80,4.20,16.58,2.26,2.98,,30.61,24.61,0.00,,0
2017-05-02,28.56,24.67,1007.00,3.40,15.93,3.50,4.99,,31.39,26.22,0.00,,0
2017-05-03,28.61,25.50,1006.80,3.10,15.93,,,,30.61,26.39,0.00,,0
2017-05-04,29.89,22.72,1010.10,6.40,26.55,1.75,2.98,,33.22,27.22,0.00,,0
2017-05-05,27.72,23.11,1012.50,8.90,19.96,,,,29.39,25.50,0.00,,0
2017-05-06,26.83,24.39,1013.10,9.40,15.93,,,,29.28,25.78,0.10,,0
2017-05-07,28.50,24.00,1010.50,6.80,15.93,2.01,2.98,,31.39,25.89,0.00,,0
2017-05-08,28.11,24.11,1008.30,4.70,17.54,3.50,4.99,,31.61,24.00,0.10,,10010
