DATE,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
1988-01-04,22.00,18.72,,999.90,4.02,2.93,6.17,,27.00,19.00,,,10000
1988-01-05,18.22,13.78,,999.90,9.17,4.94,8.18,,19.00,17.00,,,10000
1988-01-06,15.72,13.00,,999.90,,4.89,6.17,,17.00,15.00,0.00,,0
1988-01-07,16.83,15.33,,999.90,1.77,2.73,5.09,,18.00,16.00,,,10000
1988-01-09,22.22,19.61,,999.90,7.24,2.88,3.09,,23.00,21.00,0.00,,0
1988-01-10,20.67,18.17,,999.90,7.89,4.99,6.17,,22.00,19.00,0.00,,0
1988-01-11,19.78,17.39,,999.90,7.56,3.24,6.17,,21.00,18.00,0.00,,0
1988-01-12,15.67,11.50,,999.90,11.27,4.78,8.18,,17.00,14.00,0.00,,0
1988-01-13,18.72,16.39,,999.90,5.15,3.91,7.20,,21.00,15.00,0.00,,0
1988-01-14,18.50,16.83,,999.90,2.57,1.70,6.17,,21.00,17.00,0.00,,0
1988-01-15,19.00,17.61,,999.90,2.09,3.09,5.09,,24.00,17.00,0.00,,100000
1988-01-17,17.50,13.00,,999.90,8.05,8.49,9.77,,18.00,17.00,0.00,,0
1988-01-18,12.17,10.28,,999.90,6.76,6.28,8.18,,14.00,10.00,,,10000
1988-01-19,15.89,10.28,,999.90,10.46,3.50,4.12,,18.00,13.00,0.00,,0
1988-01-21,16.22,15.28,,999.90,,1.80,2.11,,18.00,15.00,,,10000
1988-01-22,21.89,16.78,,999.90,4.35,1.70,3.09,,28.00,18.00,0.00,,0
1988-01-23,21.33,18.50,,999.90,5.95,3.50,4.12,,25.00,18.00,0.00,,0
1988-01-26,16.28,15.17,,999.90,0.97,6.17,8.18,,18.00,16.00,,,10000
1988-01-27,12.17,11.39,,999.90,4.67,4.32,6.17,,14.00,8.00,,,10000
1988-01-29,16.00,15.00,,999.90,2.74,2.11,2.11,,17.00,15.00,,,10000
1988-01-30,17.67,16.67,,999.90,0.97,0.98,0.98,,19.00,17.00,,,10000
1988-02-01,16.50,15.78,,999.90,1.29,1.80,2.11,,17.00,16.00,,,10000
1988-02-02,16.00,15.00,,999.90,9.66,2.88,4.12,,17.00,15.00,,,10000
1988-02-05,20.78,18.50,,999.90,8.05,4.12,6.17,,22.00,20.00,0.00,,0
1988-02-08,15.78,13.39,,999.90,11.27,7.00,9.77,,16.00,15.00,,,10000
1988-02-10,15.33,9.17,,999.90,11.27,4.94,7.20,,24.00,11.00,,,10000
1988-02-12,13.50,9.78,,999.90,,3.34,5.09,,15.00,13.00,0.00,,0
1988-02-13,16.22,15.00,,999.90,1.45,2.88,4.12,,17.00,15.00,,,10000
1988-02-14,16.78,15.72,,999.90,1.45,3.09,4.12,,17.00,16.00,,,10000
1988-02-15,13.17,12.17,,999.90,1.93,4.42,5.09,,14.00,13.00,,,10000
1988-02-17,11.78,9.22,,999.90,9.33,6.17,8.18,,12.00,11.00,,,10000
1988-02-18,11.11,5.22,,999.90,10.14,5.92,7.20,,16.00,7.00,,,10000
1988-02-19,8.78,6.11,,999.90,8.05,4.01,6.17,,11.00,7.00,,,10000
1988-02-22,14.39,13.39,,999.90,1.45,4.32,5.09,,15.00,14.00,,,10000
1988-02-23,17.83,15.83,,999.90,6.28,2.78,4.12,,20.00,15.00,,,10000
1988-02-24,20.39,19.61,,999.90,0.80,1.65,4.12,,21.00,20.00,,,10000
1988-02-27,22.72,20.78,,999.90,8.05,6.17,8.18,,24.00,21.00,0.00,,0
1988-03-01,12.00,9.83,,999.90,8.85,5.76,8.18,,13.00,11.00,,,10000
1988-03-03,13.28,7.22,,999.90,11.27,4.12,4.12,,15.00,11.00,0.00,,0
1988-03-04,12.56,7.17,,999.90,6.92,3.81,5.09,,13.00,12.00,0.00,,0
1988-03-05,14.33,6.50,,999.90,,4.27,6.17,,16.00,13.00,0.00,,0
1988-03-08,14.50,,,999.90,4.51,2.31,4.12,,16.00,14.00,0.00,,0
1988-03-09,15.78,11.22,,999.90,3.06,1.85,3.09,,18.00,14.00,0.00,,0
1988-03-13,21.78,20.50,,999.90,,1.54,4.12,,23.00,21.00,,,10000
1988-03-17,15.83,14.83,,999.90,1.13,5.45,6.17,,16.00,15.00,,,10000
1988-03-18,16.78,10.78,,999.90,11.27,4.12,5.09,,18.00,14.00,,,10000
1988-03-19,17.78,15.50,,999.90,,4.12,5.09,,24.00,14.00,,,10000
1988-03-21,19.61,18.00,,999.90,3.86,1.44,2.11,,21.00,18.00,,,10000
1988-03-22,17.78,16.61,,999.90,1.61,5.30,6.17,,19.00,16.00,,,10000
1988-03-25,17.11,16.33,,999.90,1.45,1.59,3.09,,18.00,16.00,,,10000
1988-03-27,19.72,18.72,,999.90,3.22,2.78,5.09,,21.00,19.00,,,10000
1988-03-28,22.72,20.50,,999.90,,2.31,5.09,,25.00,21.00,,,10000
1988-03-30,17.39,13.28,,999.90,8.05,4.73,7.20,,18.00,15.00,0.00,,0
1988-03-31,17.56,13.28,,999.90,,3.96,4.12,,19.00,15.00,0.00,,0
1988-04-02,16.78,,,999.90,3.86,4.12,4.12,,17.00,16.00,,,10000
1988-04-03,20.22,15.00,,999.90,,2.62,3.09,,22.00,19.00,0.00,,0
1988-04-04,21.00,16.83,,999.90,7.40,5.97,8.18,,22.00,18.00,0.00,,0
1988-04-05,21.67,19.50,,999.90,5.63,3.60,5.09,,23.00,20.00,0.00,,0
1988-04-06,23.17,21.44,,999.90,4.18,3.40,6.17,,25.00,21.00,,,10000
1988-04-07,22.39,20.61,,999.90,2.57,5.56,8.18,,23.00,20.00,,,10000
1988-04-10,18.61,16.22,,999.90,5.95,7.20,7.20,,20.00,17.00,,,10000
1988-04-11,18.83,17.83,,999.90,2.09,5.66,7.20,,20.00,18.00,,,10000
1988-04-12,22.78,21.00,,999.90,6.44,6.79,10.80,,24.00,21.00,0.00,,0
1988-04-13,22.78,19.50,,999.90,4.99,,,,24.00,22.00,,,10000
1988-04-14,22.33,17.50,,999.90,2.41,7.36,10.80,,24.00,20.00,0.00,,0
1988-04-17,23.44,20.22,,999.90,4.99,9.41,13.89,,27.00,21.00,0.00,,0
1988-04-18,27.00,19.22,,999.90,,13.48,18.01,,29.00,25.00,0.00,,0
1988-04-19,24.00,20.17,,999.90,9.66,14.30,18.01,,28.00,21.00,0.00,,0
1988-04-21,31.00,24.78,,999.90,10.62,18.83,25.21,,33.00,25.00,0.00,,0
1988-04-22,25.17,15.56,,999.90,10.62,21.45,28.76,,29.00,23.00,0.00,,0
1988-04-23,21.28,15.72,,999.90,8.05,9.26,10.80,,23.00,19.00,,,10000
1988-04-24,23.72,18.83,,999.90,7.40,10.85,22.07,,27.00,19.00,0.00,,0
1988-04-25,23.67,18.56,,999.90,8.53,10.91,18.01,,27.00,20.00,0.00,,0
1988-04-27,28.17,22.67,,999.90,10.14,19.50,25.21,,30.00,25.00,0.00,,0
1988-05-03,27.00,24.28,,999.90,8.05,12.40,13.89,,29.00,25.00,,,10000
1988-05-06,27.17,25.33,,999.90,10.14,16.62,22.07,,30.00,26.00,0.00,,0
1988-05-08,30.00,25.39,,999.90,9.98,22.69,25.21,,33.00,26.00,0.00,,0
1988-05-09,28.22,25.11,,999.90,9.98,16.10,22.07,,33.00,26.00,0.00,,0
1988-05-11,28.50,25.78,,999.90,10.46,10.19,13.89,,30.00,27.00,,,10000
1988-05-13,25.22,23.00,,999.90,10.46,6.53,10.80,,26.00,24.00,0.00,,0
